account_id,account_name,industry,account_segment,employee_band,segment_bucket,use_case_bucket,payment_flow_fit_score,urgency_score,revenue_potential_score,likelihood_to_buy_score,icp_grade,buyer_persona,wedge_priority,current_owner_name
001000000001,Company001 Labs,Healthcare,Mid-Market,501-2000,healthcare_admin,patient_payments,3,2,5,4,A1,VP Strategy,comparison,AM_6
001000000002,Company002 Labs,SaaS,Mid-Market,51-200,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_9
001000000003,Company003 Labs,Retail,Mid-Market,201-500,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_5
001000000004,Company004 Labs,Fintech,Mid-Market,2000+,banking_software,embedded_accounts,4,3,4,4,A1,GM Embedded Finance,comparison,AM_1
001000000005,Company005 Labs,Healthcare,Mid-Market,201-500,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_8
001000000006,Company006 Labs,SaaS,Mid-Market,501-2000,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_3
001000000007,Company007 Labs,SaaS,Mid-Market,501-2000,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_4
001000000008,Company008 Labs,Media,Mid-Market,51-200,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_1
001000000009,Company009 Labs,Fintech,Mid-Market,51-200,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_3
001000000010,Company010 Labs,Media,Mid-Market,1-50,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_8
001000000011,Company011 Labs,Fintech,Mid-Market,1-50,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_5
001000000012,Company012 Labs,Media,Mid-Market,51-200,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_10
001000000013,Company013 Labs,SaaS,Mid-Market,201-500,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_3
001000000014,Company014 Labs,Manufacturing,Enterprise,51-200,b2b_erp,vendor_payments,2,2,5,2,A3,Head of Revenue,comparison,AE_3
001000000015,Company015 Labs,Healthcare,SMB,51-200,healthcare_admin,patient_payments,3,2,5,4,A1,VP Strategy,comparison,AM_6
001000000016,Company016 Labs,Media,Mid-Market,201-500,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_5
001000000017,Company017 Labs,SaaS,Mid-Market,51-200,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_8
001000000018,Company018 Labs,SaaS,SMB,51-200,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_9
001000000019,Company019 Labs,SaaS,Mid-Market,51-200,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_1
001000000020,Company020 Labs,Manufacturing,Mid-Market,2000+,b2b_erp,vendor_payments,2,2,3,3,B2,Head of Revenue,comparison,AM_10
001000000021,Company021 Labs,SaaS,Mid-Market,1-50,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_3
001000000022,Company022 Labs,Fintech,SMB,51-200,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_3
001000000023,Company023 Labs,Manufacturing,Mid-Market,501-2000,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_10
001000000024,Company024 Labs,Fintech,Mid-Market,501-2000,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_7
001000000025,Company025 Labs,Retail,SMB,1-50,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_4
001000000026,Company026 Labs,Fintech,Mid-Market,501-2000,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_4
001000000027,Company027 Labs,Media,Mid-Market,2000+,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_3
001000000028,Company028 Labs,Retail,Mid-Market,1-50,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_6
001000000029,Company029 Labs,Media,Mid-Market,2000+,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_5
001000000030,Company030 Labs,Manufacturing,Mid-Market,1-50,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_4
001000000031,Company031 Labs,Media,Mid-Market,51-200,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_6
001000000032,Company032 Labs,Media,Mid-Market,1-50,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_10
